node,me_parking_id,moose_terminal_id
Kandahar,M01,75
Kandahar,M02,58
Kandahar,M03,212
Kandahar,M04,170
Kandahar,M05,108
Kandahar,M06,100
Kandahar,M07,89
Kandahar,M08,206
Kandahar,M09,119
Kandahar,M10,2
Kandahar,M11,97
Kandahar,M12,255
Kandahar,N01,116
Kandahar,N02,151
Kandahar,N03,228
Kandahar,N04,86
Kandahar,N05,304
Kandahar,N06,286
Kandahar,N07,301
Kandahar,N08,163
Kandahar,N09,302
Kandahar,N10,292
Kandahar,N11,308
Kandahar,N12,251
Kandahar,N13,55
Kandahar,N14,38
Kandahar,N15,122
Kandahar,N16,48
Kandahar,N17,239
Kandahar,N18,242
Kandahar,N19,159
Kandahar,N20,74
Kandahar,N21,241
Kandahar,N22,33
Kandahar,N23,230
Kandahar,N24,316
Kandahar,N25,36
Kandahar,O01,234
Kandahar,O02,31
Kandahar,O03,13
Kandahar,O04,216
Kandahar,O05,7
Kandahar,O06,275
Kandahar,O07,24
Kandahar,O08,34
Kandahar,O09,295
Kandahar,O10,95
Kandahar,PAN01,204
Kandahar,PAN02,50
Kandahar,PAN03,262
Kandahar,PAN04,169
Kandahar,PAN05,123
Kandahar,PAN06,222
Kandahar,PAN07,68
Kandahar,PAN08,115
Kandahar,PAN09,15
Kandahar,PAN10,310
Kandahar,PAN11,62
Kandahar,PAN12,267
Kandahar,PAN13,256
Kandahar,PAN14,261
Kandahar,PAN15,85
Kandahar,PAN16,311
Kandahar,PAN17,208
Kandahar,PAN18,173
Kandahar,PAN19,249
Kandahar,Q01-H,99
Kandahar,Q02-H,153
Kandahar,Q03-H,30
Kandahar,Q04-H,12
Kandahar,Q05-H,137
Kandahar,Q06-H,150
Kandahar,Q07-H,70
Kandahar,S01,294
Kandahar,S02,92
Kandahar,S03,201
Kandahar,S04,174
Kandahar,S05,156
Kandahar,S06,124
Kandahar,S07,238
Kandahar,S08,280
Kandahar,T01,233
Kandahar,T02,258
Kandahar,T03,257
Kandahar,T04,283
Kandahar,T05,61
Kandahar,T06,138
Kandahar,T07,57
Kandahar,T08,56
Kandahar,T09,248
Kandahar,T10,155
Kandahar,T11,35
Kandahar,T12,300
Kandahar,T13,231
Kandahar,T14,264
Kandahar,T15,37
Kandahar,T16,72
Kandahar,T17,135
Kandahar,T18,225
Kandahar,T19,164
Kandahar,T20,9
Kandahar,T21,210
Kandahar,T22,32
Kandahar,U01,196
Kandahar,U02,221
Kandahar,U03,215
Kandahar,U04,134
Kandahar,U05,290
Kandahar,U06,42
Kandahar,U07,103
Kandahar,U08,45
Kandahar,U09,82
Kandahar,U10,235
Kandahar,U11,161
Kandahar,UAE01,118
Kandahar,UAE02,285
Kandahar,UAE03,106
Kandahar,UAE04,133
Kandahar,UAE05,180
Kandahar,UAE06,259
Kandahar,UAE07,277
Kandahar,UAE08,139
Kandahar,UAE09,217
Kandahar,UAE10,94
Kandahar,UAE11,104
Kandahar,V01,120
Kandahar,V02,273
Kandahar,V03,288
Kandahar,V04,246
Kandahar,V05,26
Kandahar,W01,28
Kandahar,W02,16
Kandahar,W03,214
Kandahar,W04,117
Kandahar,W05,101
Kandahar,W06,152
Kandahar,W07,312
Kandahar,W08,199
Kandahar,W09,40
Kandahar,W10,136
Kandahar,W11,298
Kandahar,W12,307
Kandahar,W13,317
Kandahar,W14,18
Kandahar,W15,271
Kandahar,W16,281
Kandahar,W17,314
Kandahar,W18,25
Kandahar,W19,229
Kandahar,X01,276
Kandahar,X02,102
Kandahar,X03,244
Kandahar,X04,67
Kandahar,X05,17
Kandahar,X06,105
Kandahar,X07,71
Kandahar,X08,245
Kandahar,X09,130
Kandahar,X10,219
Kandahar,X11,167
Kandahar,X12,254
Kandahar,X13,22
Kandahar,X14,226
Kandahar,X15,166
Kandahar,X16,83
Kandahar,X17,84
Kandahar,X18,205
Kandahar,X19,52
Kandahar,Y01,1
Kandahar,Y02,306
Kandahar,Y03,220
Kandahar,Y04,289
Kandahar,Y05,293
Kandahar,Y06,77
Kandahar,Y07,193
Kandahar,Y08,96
Kandahar,Y09,188
Kandahar,Y10,90
Kandahar,Y11,140
Kandahar,Y12,149
Kandahar,Y13,192
Kandahar,Y14,4
Kandahar,Y15,5
Kandahar,Y16,132
Kandahar,Y17,315
Kandahar,Y18,198
Kandahar,Y19,236
Kandahar,Y20,178
Kandahar,Y21,113
Kandahar,Z01,247
Kandahar,Z02,177
Kandahar,Z03,8
Kandahar,Z04,11
Kandahar,Z05,141
Kandahar,Z06,59
Kandahar,Z07,109
Kandahar,Z08,88
Kandahar,Z09,237
Kandahar,Z10,266
Kandahar,Z11,49
Kandahar,Z12,268
Kandahar,Z13,270
Kandahar,Z14,179
Kandahar,Z15,20
Kandahar,Z16,69
Kandahar,Z17,91
Kandahar,Z18,43
Kandahar,Z19,287
Kandahar,Z20,282
Kandahar,Z21,278
Kandahar,Z22,63
Kandahar,Z23,313
Kandahar,Z24,51
Kandahar Heliport,MST01-H,80
Kandahar Heliport,MST02-H,79
Kandahar Heliport,MST03-H,73
Kandahar Heliport,MST04-H,39
Kandahar Heliport,MST05-H,3
Kandahar Heliport,MST06-H,24
Kandahar Heliport,MST07-H,28
Kandahar Heliport,MST08-H,34
Kandahar Heliport,MST09-H,62
Kandahar Heliport,MST10-H,57
Kandahar Heliport,MST11-H,23
Kandahar Heliport,MST12-H,85
Kandahar Heliport,MST13-H,78
Kandahar Heliport,MST14-H,51
Kandahar Heliport,MST15-H,33
Kandahar Heliport,MST16-H,35
Kandahar Heliport,MST17-H,10
Kandahar Heliport,MST18-H,63
Kandahar Heliport,MST19-H,0
Kandahar Heliport,MST20-H,13
Kandahar Heliport,MST21-H,12
Kandahar Heliport,MST22-H,75
Kandahar Heliport,MST23-H,54
Kandahar Heliport,MST24-H,76
Kandahar Heliport,MST25-H,69
Kandahar Heliport,MST26-H,29
Kandahar Heliport,MST27-H,43
Kandahar Heliport,MST28-H,7
Kandahar Heliport,MST29-H,53
Kandahar Heliport,MST30-H,19
Kandahar Heliport,MST31-H,86
Kandahar Heliport,MST32-H,83
Kandahar Heliport,MST33-H,87
Kandahar Heliport,MST34-H,20
Kandahar Heliport,MST35-H,55
Kandahar Heliport,MST36-H,49
Kandahar Heliport,MST37-H,74
Kandahar Heliport,MST38-H,30
Kandahar Heliport,MST39-H,64
Kandahar Heliport,MST40-H,71
Kandahar Heliport,MST41-H,67
Kandahar Heliport,MST42-H,59
Kandahar Heliport,MST43-H,11
Kandahar Heliport,MST44-H,50
Kandahar Heliport,MST45-H,36
Kandahar Heliport,MST46-H,60
Kandahar Heliport,MST47-H,52
Kandahar Heliport,MST48-H,9
Kandahar Heliport,MST49-H,22
Kandahar Heliport,MST50-H,31
Kandahar Heliport,MST51-H,21
Kandahar Heliport,MST52-H,61
Kandahar Heliport,MST53-H,42
Kandahar Heliport,MST54-H,72
Kandahar Heliport,MST55-H,41
Kandahar Heliport,MST56-H,84
Kandahar Heliport,MST57-H,8
Kandahar Heliport,MST58-H,32
Kandahar Heliport,MST59-H,15
Kandahar Heliport,MST60-H,46
Kandahar Heliport,MST61-H,56
Kandahar Heliport,MST62-H,27
Kandahar Heliport,MST63-H,66
Kandahar Heliport,MST64-H,82
Kandahar Heliport,MST65-H,17
Kandahar Heliport,MST66-H,1
Kandahar Heliport,MST67-H,6
Kandahar Heliport,MST68-H,37
Kandahar Heliport,MST69-H,68
Kandahar Heliport,MST70-H,40
Kandahar Heliport,MST71-H,16
Kandahar Heliport,MST72-H,14
Kandahar Heliport,MST73-H,26
Kandahar Heliport,MST74-H,65
Kandahar Heliport,MST75-H,4
Kandahar Heliport,MST76-H,25
Kandahar Heliport,MST77-H,18
Kandahar Heliport,MST78-H,81
Kandahar Heliport,MST79-H,58
Kandahar Heliport,MST80-H,38
Kandahar Heliport,MST81-H,45
Kandahar Heliport,MST82-H,47
Kandahar Heliport,MST83-H,2
Kandahar Heliport,MST84-H,70
Kandahar Heliport,MST85-H,5
Kandahar Heliport,MST86-H,48
